"Figure 5: The North East was the English region with the highest annual rent inflation ",""
"Private rent annual inflation, English regions, June 2026 ",""
"",""
"Notes",""
"Unit","%"
"",""
"Area","Annual percentage change"
"North East","6.3"
"North West","5.4"
"Yorkshire and The Humber","4.8"
"South West","4.7"
"West Midlands","4.4"
"East Midlands","3.7"
"England","3.4"
"East of England","3.3"
"South East","2.3"
"London","2.2"
